name,company,category,calories,protein_g,carbs_g,fat_g,saturated_fat_g,sugar_g,sodium_mg,base_unit,default_serving_weight_grams
"Chicken Breast, cooked",Tnuva,Meat,165.0,31.0,0.0,3.6,1.0,0.0,74.0,100g,150.0
"Turkey Breast, cooked",Tirat Zvi,Meat,135.0,29.0,1.0,1.5,0.5,0.0,50.0,100g,100.0
"Beef Kebab, cooked",Tirat Zvi,Meat,250.0,18.0,4.0,18.0,7.0,1.0,450.0,100g,100.0
"Chicken Schnitzel, cooked",Mama Of,Meat,240.0,15.0,20.0,11.0,2.5,1.0,350.0,100g,100.0
Canned Tuna in Water,Starkist,Meat,115.0,26.0,0.0,1.0,0.2,0.0,350.0,100g,112.0
Canned Tuna in Oil,Starkist,Meat,190.0,24.0,0.0,10.0,1.5,0.0,350.0,100g,112.0
"Ground Beef 5% Fat, cooked",Tnuva,Meat,137.0,21.0,0.0,5.0,2.0,0.0,65.0,100g,150.0
"Ground Beef 15% Fat, cooked",Tnuva,Meat,212.0,19.0,0.0,15.0,6.0,0.0,70.0,100g,150.0
"Salmon Fillet, cooked",Tnuva,Meat,206.0,22.0,0.0,13.0,3.0,0.0,60.0,100g,150.0
Pastrami Barbecue,Soglowek,Meat,110.0,18.0,3.0,2.5,1.0,1.0,800.0,100g,50.0
"Ptitim, cooked",Osem,Grains,150.0,4.5,28.0,2.0,0.5,1.0,150.0,100g,150.0
"White Rice, cooked",Sugat,Grains,130.0,2.7,28.0,0.3,0.1,0.1,1.0,100g,150.0
"Basmati Rice, cooked",Sugat,Grains,121.0,3.5,25.0,0.4,0.1,0.1,1.0,100g,150.0
"Couscous, cooked",Osem,Grains,112.0,3.8,23.0,0.2,0.1,0.0,5.0,100g,150.0
"Bulgur, cooked",Sugat,Grains,83.0,3.1,18.6,0.2,0.0,0.1,5.0,100g,150.0
"Pasta, cooked",Osem,Grains,157.0,5.8,30.0,0.9,0.2,0.5,2.0,100g,150.0
"Quinoa, cooked",Sugat,Grains,120.0,4.4,21.3,1.9,0.2,0.9,7.0,100g,150.0
Rolled Oats (Raw),Quaker,Grains,379.0,13.0,67.0,6.5,1.2,1.0,5.0,100g,40.0
"Green Lentils, cooked",Sugat,Grains,116.0,9.0,20.0,0.4,0.1,1.8,2.0,100g,150.0
"Chickpeas, cooked",Sugat,Grains,164.0,8.8,27.0,2.5,0.2,4.8,7.0,100g,150.0
White Bread,Angel,Grains,240.0,8.0,48.0,2.0,0.5,3.0,400.0,100g,35.0
Whole Wheat Bread,Berman,Grains,220.0,9.5,41.0,2.5,0.6,2.0,380.0,100g,35.0
Rice Cakes,B&D,Grains,385.0,8.0,80.0,3.0,0.8,0.5,350.0,100g,10.0
Cottage Cheese 5%,Tnuva,Dairy,95.0,10.0,1.5,5.0,3.0,1.5,300.0,100g,250.0
Cottage Cheese 9%,Tara,Dairy,120.0,9.0,1.5,9.0,5.5,1.5,300.0,100g,250.0
White Cheese 5%,Strauss,Dairy,97.0,9.5,3.5,5.0,3.0,3.5,240.0,100g,250.0
Pro Yogurt 20g,Tnuva,Dairy,60.0,10.0,4.0,0.0,0.0,4.0,45.0,100g,200.0
Pro Yogurt 20g,Tara,Dairy,62.0,10.0,3.8,0.0,0.0,3.8,40.0,100g,200.0
Danone PRO,Strauss,Dairy,58.0,10.0,3.5,0.0,0.0,3.5,40.0,100g,200.0
Milk 3%,Yotvata,Dairy,59.0,3.3,4.7,3.0,1.8,4.7,40.0,100ml,200.0
Milk 1%,Yotvata,Dairy,43.0,3.4,4.9,1.0,0.6,4.9,42.0,100ml,200.0
Soy Milk (Unsweetened),Tnuva,Dairy,39.0,3.3,1.8,2.1,0.4,1.0,45.0,100ml,200.0
Yellow Cheese Emek 28%,Tnuva,Dairy,343.0,25.0,0.1,28.0,17.0,0.0,700.0,100g,28.0
Yellow Cheese Noam 9%,Tara,Dairy,206.0,31.0,1.0,9.0,5.5,0.0,750.0,100g,28.0
Feta Cheese 16%,Gad,Dairy,224.0,14.0,2.0,16.0,10.0,1.0,1100.0,100g,50.0
Bamba,Osem,Snacks,534.0,17.0,39.0,33.0,5.0,2.5,400.0,100g,25.0
Bissli Grill,Osem,Snacks,490.0,10.0,58.0,24.0,11.0,2.0,800.0,100g,35.0
Doritos Nacho,Elite,Snacks,498.0,7.5,60.0,25.0,11.0,2.5,550.0,100g,40.0
Tapuchips,Elite,Snacks,541.0,5.0,52.0,35.0,15.0,0.5,500.0,100g,50.0
Apropo,Osem,Snacks,536.0,5.0,56.0,32.0,3.5,1.5,600.0,100g,50.0
Milky Chocolate,Strauss,Snacks,138.0,2.8,17.0,6.5,4.0,14.0,50.0,100g,133.0
Pesek Zman,Elite,Snacks,518.0,6.5,55.0,30.0,14.0,48.0,90.0,100g,45.0
Tortit,Elite,Snacks,523.0,5.5,58.0,29.0,13.0,45.0,75.0,100g,40.0
Raw Tahini,Achva,Fats,694.0,24.0,12.0,60.0,10.0,1.0,10.0,100g,15.0
Hummus,Achla,Spreads,280.0,6.5,14.0,22.0,3.0,0.0,400.0,100g,30.0
Hummus Classic,Shamir,Spreads,295.0,6.0,15.0,23.0,3.5,0.5,410.0,100g,30.0
Peanut Butter,Skippy,Spreads,590.0,25.0,16.0,50.0,8.0,9.0,430.0,100g,32.0
Natural Peanut Butter,B&D,Spreads,610.0,28.0,14.0,52.0,7.0,4.0,15.0,100g,32.0
Olive Oil,Yitzhar,Fats,828.0,0.0,0.0,92.0,14.0,0.0,0.0,100ml,15.0
Butter,Tnuva,Fats,730.0,0.5,0.7,81.0,52.0,0.7,10.0,100g,10.0
Almonds (Raw),Shkediya,Fats,598.0,21.0,21.0,50.0,3.8,4.9,1.0,100g,20.0
Walnuts,Shkediya,Fats,654.0,15.0,13.0,65.0,6.1,2.6,2.0,100g,20.0
Mass Gainer,Super Effect,Supplements,380.0,20.0,70.0,2.5,1.0,15.0,150.0,100g,300.0
Whey Protein Isolate,Allin,Supplements,360.0,85.0,2.0,1.0,0.5,1.0,120.0,100g,33.0
Protein Bar Chocolate,Allin,Snacks,350.0,35.0,25.0,12.0,6.0,2.0,200.0,100g,60.0
Whey Protein,Super Effect,Supplements,395.0,75.0,9.0,6.0,2.5,4.0,180.0,100g,33.0
Ketchup,Osem,Spreads,114.0,1.5,27.0,0.0,0.0,23.0,850.0,100g,15.0
Mayonnaise,Telma,Spreads,718.0,1.0,3.5,78.0,12.0,2.5,400.0,100g,15.0
Tomato Paste,Mutti,Vegetables,82.0,4.2,14.0,0.2,0.1,11.0,130.0,100g,50.0
Eggs (Size L),Tnuva,Protein,143.0,12.5,0.7,9.7,3.1,0.3,142.0,100g,60.0
Avocado,Carmel,Fats,160.0,2.0,8.5,14.6,2.1,0.6,7.0,100g,100.0
Banana,Carmel,Fruits,89.0,1.0,22.8,0.3,0.1,12.2,1.0,100g,118.0
Apple,Bereshit,Fruits,52.0,0.2,13.8,0.1,0.0,10.3,1.0,100g,150.0
Cucumber,Carmel,Vegetables,15.0,0.6,3.6,0.1,0.0,1.6,2.0,100g,100.0
Tomato,Carmel,Vegetables,18.0,0.8,3.9,0.2,0.0,2.6,5.0,100g,100.0
Baguette Variation 65,Shamir,Grains,298.7,10.9,56.7,1.4,0.3,2.3,656.3,100g,50.0
Watermelon Variation 66,Tara,Fruits,30.6,0.6,7.7,0.2,0.0,6.3,1.0,100g,150.0
Baguette Variation 67,Quaker,Grains,255.1,9.3,48.4,1.2,0.3,2.0,560.6,100g,50.0
Watermelon Variation 68,Achla,Fruits,32.2,0.6,8.2,0.2,0.0,6.7,1.1,100g,150.0
Greek Yogurt 0% Variation 69,Tara,Dairy,61.5,10.7,4.2,0.0,0.0,3.3,37.5,100g,150.0
Flaxseeds Variation 70,Yitzhar,Fats,584.2,20.0,31.6,46.2,4.0,1.6,32.8,100g,15.0
Bell Pepper (Red) Variation 71,Mama Of,Vegetables,27.9,0.9,5.4,0.3,0.0,3.8,3.6,100g,100.0
Protein Water Variation 72,Yitzhar,Beverages,20.5,4.6,0.0,0.0,0.0,0.0,10.2,100ml,330.0
Apple Juice Variation 73,Shkediya,Beverages,41.5,0.1,10.2,0.1,0.0,8.7,3.6,100ml,200.0
Orange Juice Variation 74,B&D,Beverages,45.2,0.7,10.5,0.2,0.0,8.4,1.0,100ml,200.0
Grapes Variation 75,Telma,Fruits,75.5,0.8,19.8,0.2,0.1,17.0,2.2,100g,100.0
"Sweet Potato, cooked Variation 76",Angel,Vegetables,92.1,2.0,21.2,0.1,0.0,6.7,36.9,100g,150.0
Bell Pepper (Red) Variation 77,Mutti,Vegetables,34.0,1.1,6.6,0.3,0.0,4.6,4.4,100g,100.0
Orange Juice Variation 78,Elite,Beverages,48.2,0.8,11.1,0.2,0.0,9.0,1.1,100ml,200.0
Baguette Variation 79,Yitzhar,Grains,271.3,9.9,51.5,1.3,0.3,2.1,596.0,100g,50.0
"Kidney Beans, cooked Variation 80",Sugat,Grains,138.2,9.5,24.8,0.5,0.1,0.3,2.2,100g,150.0
"Broccoli, cooked Variation 81",Strauss,Vegetables,34.2,2.3,7.0,0.4,0.1,1.4,40.1,100g,100.0
Apple Juice Variation 82,Yitzhar,Beverages,43.5,0.1,10.7,0.1,0.0,9.1,3.8,100ml,200.0
Protein Water Variation 83,Angel,Beverages,20.7,4.7,0.0,0.0,0.0,0.0,10.4,100ml,330.0
Bell Pepper (Red) Variation 84,Tara,Vegetables,28.1,0.9,5.4,0.3,0.0,3.8,3.6,100g,100.0
"Broccoli, cooked Variation 85",B&D,Vegetables,33.3,2.3,6.9,0.4,0.1,1.3,39.0,100g,100.0
Pita Bread Variation 86,Sugat,Grains,264.6,8.8,52.9,1.2,0.2,1.3,515.8,100g,100.0
Oat Milk Variation 87,Shkediya,Dairy,43.4,0.3,6.9,1.5,0.2,3.2,45.4,100ml,200.0
Flaxseeds Variation 88,Strauss,Fats,563.4,19.3,30.5,44.5,3.9,1.6,31.7,100g,15.0
"Tofu, firm Variation 89",Achva,Protein,155.4,16.2,3.0,9.4,1.4,0.0,15.1,100g,100.0
"Broccoli, cooked Variation 90",Berman,Vegetables,33.8,2.3,7.0,0.4,0.1,1.4,39.6,100g,100.0
"Broccoli, cooked Variation 91",Mutti,Vegetables,35.1,2.4,7.2,0.4,0.1,1.4,41.2,100g,100.0
Pita Bread Variation 92,Yitzhar,Grains,268.9,8.9,53.8,1.2,0.2,1.3,524.1,100g,100.0
"Kidney Beans, cooked Variation 93",Angel,Grains,135.3,9.3,24.3,0.5,0.1,0.3,2.1,100g,150.0
Apple Juice Variation 94,Bereshit,Beverages,44.0,0.1,10.8,0.1,0.0,9.2,3.8,100ml,200.0
Protein Water Variation 95,Super Effect,Beverages,18.6,4.2,0.0,0.0,0.0,0.0,9.3,100ml,330.0
"Sweet Potato, cooked Variation 96",Super Effect,Vegetables,82.3,1.8,18.9,0.1,0.0,5.9,32.9,100g,150.0
Baguette Variation 97,Yotvata,Grains,288.9,10.5,54.8,1.4,0.3,2.2,634.8,100g,50.0
Bell Pepper (Red) Variation 98,Tara,Vegetables,27.9,0.9,5.4,0.3,0.0,3.8,3.6,100g,100.0
Watermelon Variation 99,Gad,Fruits,31.2,0.6,7.9,0.2,0.0,6.5,1.0,100g,150.0
Seitan Variation 100,Elite,Protein,390.1,79.1,14.8,2.0,0.3,0.0,30.6,100g,100.0
Almond Milk (Unsweetened) Variation 101,Achva,Dairy,12.6,0.4,0.3,1.1,0.1,0.0,65.1,100ml,200.0
Orange Variation 102,Telma,Fruits,50.4,1.0,12.7,0.1,0.0,10.1,0.0,100g,130.0
Pita Bread Variation 103,Skippy,Grains,265.7,8.8,53.1,1.2,0.2,1.3,517.9,100g,100.0
"Potato, cooked Variation 104",Mutti,Vegetables,83.7,1.8,19.3,0.1,0.0,0.9,4.8,100g,150.0
Soy Sauce Variation 105,Tirat Zvi,Spreads,55.4,8.5,5.1,0.6,0.1,0.4,5745.2,100ml,15.0
Pita Bread Variation 106,Shkediya,Grains,296.3,9.8,59.3,1.3,0.2,1.4,577.5,100g,100.0
"Beef Steak, cooked Variation 107",Elite,Meat,231.0,24.0,0.0,13.9,5.5,0.0,46.2,100g,200.0
"Broccoli, cooked Variation 108",Elite,Vegetables,36.8,2.5,7.6,0.4,0.1,1.5,43.1,100g,100.0
Apple Juice Variation 109,Mutti,Beverages,48.5,0.1,11.9,0.1,0.0,10.1,4.2,100ml,200.0
Baguette Variation 110,Soglowek,Grains,275.2,10.0,52.2,1.3,0.3,2.1,604.7,100g,50.0
"Sweet Potato, cooked Variation 111",Quaker,Vegetables,81.5,1.8,18.7,0.1,0.0,5.9,32.6,100g,150.0
Carrot Variation 112,Gad,Vegetables,37.2,0.8,8.7,0.2,0.0,4.3,62.5,100g,50.0
Baguette Variation 113,B&D,Grains,263.8,9.6,50.1,1.3,0.3,2.0,579.6,100g,50.0
Greek Yogurt 0% Variation 114,Tirat Zvi,Dairy,56.0,9.8,3.8,0.0,0.0,3.0,34.2,100g,150.0
Carrot Variation 115,Angel,Vegetables,43.1,0.9,10.1,0.2,0.0,4.9,72.5,100g,50.0
Greek Yogurt 0% Variation 116,Super Effect,Dairy,54.0,9.4,3.7,0.0,0.0,2.9,33.0,100g,150.0
Cola Variation 117,Gad,Beverages,38.2,0.0,9.9,0.0,0.0,9.9,3.7,100ml,330.0
"Tofu, firm Variation 118",Achva,Protein,152.9,15.9,3.0,9.2,1.4,0.0,14.9,100g,100.0
Orange Juice Variation 119,Yitzhar,Beverages,48.3,0.8,11.2,0.2,0.0,9.0,1.1,100ml,200.0
Protein Water Variation 120,Skippy,Beverages,18.7,4.2,0.0,0.0,0.0,0.0,9.4,100ml,330.0
Watermelon Variation 121,Quaker,Fruits,27.7,0.6,7.0,0.2,0.0,5.7,0.9,100g,150.0
Orange Juice Variation 122,Starkist,Beverages,48.7,0.8,11.2,0.2,0.0,9.1,1.1,100ml,200.0
"Beef Steak, cooked Variation 123",Bereshit,Meat,257.4,26.8,0.0,15.4,6.2,0.0,51.5,100g,200.0
Orange Juice Variation 124,Shamir,Beverages,43.7,0.7,10.1,0.2,0.0,8.2,1.0,100ml,200.0
Seitan Variation 125,Starkist,Protein,345.2,70.0,13.1,1.8,0.3,0.0,27.1,100g,100.0
Cola Variation 126,Yotvata,Beverages,40.9,0.0,10.6,0.0,0.0,10.6,4.0,100ml,330.0
"Beef Steak, cooked Variation 127",Gad,Meat,238.5,24.8,0.0,14.3,5.7,0.0,47.7,100g,200.0
Soy Sauce Variation 128,Angel,Spreads,49.5,7.6,4.6,0.6,0.1,0.4,5128.6,100ml,15.0
Soy Sauce Variation 129,Yotvata,Spreads,52.0,7.9,4.8,0.6,0.1,0.4,5387.4,100ml,15.0
"Black Beans, cooked Variation 130",Quaker,Grains,144.2,9.7,25.9,0.5,0.1,0.3,1.1,100g,150.0
Baguette Variation 131,Osem,Grains,285.6,10.4,54.2,1.4,0.3,2.2,627.6,100g,50.0
Almond Milk (Unsweetened) Variation 132,B&D,Dairy,14.3,0.4,0.3,1.2,0.1,0.0,73.7,100ml,200.0
Cola Variation 133,B&D,Beverages,44.9,0.0,11.6,0.0,0.0,11.6,4.4,100ml,330.0
Protein Water Variation 134,Shkediya,Beverages,18.1,4.1,0.0,0.0,0.0,0.0,9.1,100ml,330.0
"Beef Steak, cooked Variation 135",Tnuva,Meat,237.0,24.6,0.0,14.2,5.7,0.0,47.4,100g,200.0
"Tofu, firm Variation 136",Yitzhar,Protein,143.7,15.0,2.8,8.7,1.3,0.0,14.0,100g,100.0
Oat Milk Variation 137,Mutti,Dairy,44.5,0.3,7.0,1.6,0.2,3.3,46.5,100ml,200.0
Watermelon Variation 138,Carmel,Fruits,28.4,0.6,7.2,0.2,0.0,5.9,0.9,100g,150.0
Oat Milk Variation 139,Carmel,Dairy,42.7,0.3,6.8,1.5,0.2,3.2,44.7,100ml,200.0
"Tofu, firm Variation 140",Mama Of,Protein,141.1,14.7,2.7,8.5,1.3,0.0,13.7,100g,100.0
"Potato, cooked Variation 141",Berman,Vegetables,92.8,2.0,21.4,0.1,0.0,1.0,5.3,100g,150.0
Protein Water Variation 142,Soglowek,Beverages,18.7,4.2,0.0,0.0,0.0,0.0,9.4,100ml,330.0
Seitan Variation 143,Shamir,Protein,357.1,72.4,13.5,1.8,0.3,0.0,28.0,100g,100.0
Greek Yogurt 0% Variation 144,Gad,Dairy,61.5,10.7,4.2,0.0,0.0,3.3,37.5,100g,150.0
Cashews (Raw) Variation 145,Shamir,Fats,569.1,18.7,31.1,45.1,8.0,6.1,12.3,100g,20.0
Pecans Variation 146,Yotvata,Fats,717.4,9.6,14.4,74.7,6.4,4.2,0.0,100g,20.0
Baguette Variation 147,Strauss,Grains,292.5,10.7,55.5,1.4,0.3,2.2,642.7,100g,50.0
Watermelon Variation 148,Telma,Fruits,31.4,0.6,8.0,0.2,0.0,6.5,1.0,100g,150.0
"Kidney Beans, cooked Variation 149",Mutti,Grains,128.1,8.8,23.0,0.5,0.1,0.3,2.0,100g,150.0
Grapes Variation 150,Elite,Fruits,65.3,0.7,17.1,0.2,0.1,14.7,1.9,100g,100.0
"Potato, cooked Variation 151",Quaker,Vegetables,95.4,2.1,22.0,0.1,0.0,1.0,5.5,100g,150.0
